,U3_Day001,U3_Day009,U3_Day017,U3_Day023,U3_Day059,U3_Day087,U3_Day122,U3_Input2FT,U3_Input2RT,U2_20140711FC,U2_20140711HT,U2_20140711LW,U2_20140716FC,U2_20141010,U2_20141011,U2_20141012,U2_20141016,U2_20141018,U2_20141020,U2_20141022,U2_20141029,U2_20141105,U2_20141119,U2_20141203,U2_20141217,U2_20150107,U2_20150205,U2_20150514
U3_Input2FT_scaffold_12704_3,0,0,0,0,0,0,0,0.084583794,0.000167659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_1339_22,0.003581662,0,0,0.000558659,0,0,0,0.029300269,0.000125744,0.000396904,0,0,0.000149566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_140_42,0,0,0,0,0,0,0,0.082056547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_1885_7,0,0,0.002900653,0,0,0,0,0.042963197,0,0.000132301,0.000550812,0,0.000299133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_190_32,0,0,0.005076142,0,0,0,0,0.02345601,0,6.62E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_21624_7,0,0,0,0,0,0,0,0.062391407,0.000167659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_21626_3,0,0,0,0,0,0,0,0.042726268,8.38E-05,0,0,0,0,9.64E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_2309_6,0,0,0,0,0,0,0,0.015795293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_27014_6,0,0,0.008339376,0,0,0,0,0.010977729,0,0.010121056,0.006816304,0.003651811,0.010469638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_28279_1,0,0,0,0,0,0,0,0.01026694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_3105_2,0,0,0,0,0,0,0,0.025904281,4.19E-05,0.000198452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_34251_2,0,0,0.04350979,0,0,0,0,0.022824198,0,0.094926242,0.063618838,0.050678193,0.14986539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_3504_7,0.000477555,0,0,0,0.000379251,0,0,0.030563892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_44761_2,0,0,0,0,0,0,0,0.005923235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_4895_5,0,0,0,0,0,0,0,0.005923235,4.19E-05,6.62E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_497_44,0,0,0,0,0,0,0,0.021876481,8.38E-05,0,6.89E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_49933_1,0,0,0,0,0,0,0,0.004659611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_54290_1,0,0,0.021392313,0,0,0,0,0.015084505,8.38E-05,0.030429318,0.017350592,0.018408109,0.036494167,9.64E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_54649_2,0,0,0.010877447,0,0,0,0,0.006791976,8.38E-05,0.021366673,0.014527678,0.010433746,0.030212384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_58219_2,0,0,0.000362582,0,0,0,0,0.007107882,0.000167659,0.002050671,0.002891765,0.00275749,0.004038289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_59870_2,0.008595989,0,0.000362582,0,0,0,0,0.00916127,0.000670635,6.62E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_64525_1,0,0,0,0,0,0,0,0.015084505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_66426_1,0,0,0.003988397,0,0,0,0,0.012241352,4.19E-05,0.005556658,0.003373726,0.001341482,0.006730482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_67125_2,0,0,0,0,0,0,0,0.006949929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_70265_1,0,0,0,0,4.21E-05,0,0,0.0040278,0.000167659,0.001058411,0.000275406,0,0.001046964,0,0,0,0,0,9.51E-05,0,6.23E-05,0,0,0,0,0,0,0
U3_Input2FT_scaffold_7367_8,0,0,0,0,0,0,0,0.018954352,0,0,0.000137703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_76697_2,0.003820439,0,0.001450326,0,0.006068012,0,0,0.019744116,0,0.000264603,0,0,0.000149566,0.000192808,0,0,0,0,0,0,0.000872383,0,0,0,0,0,0,0
U3_Input2FT_scaffold_8082_3,0,0,0,0,0,0,0,0.076212289,0.000167659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_9498_4,0.000477555,0,0,0,0.001559142,0,0,0.020533881,4.19E-05,0.000463055,0.000413109,0,0.000598265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2RT_scaffold_133_7,0,0,0,0,0,0,0,0.000157953,0.004065722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
