,U3_Day001,U3_Day009,U3_Day017,U3_Day023,U3_Day059,U3_Day087,U3_Day122,U3_Input2FT,U3_Input2RT,U2_20140711FC,U2_20140711HT,U2_20140711LW,U2_20140716FC,U2_20141010,U2_20141011,U2_20141012,U2_20141016,U2_20141018,U2_20141020,U2_20141022,U2_20141029,U2_20141105,U2_20141119,U2_20141203,U2_20141217,U2_20150107,U2_20150205,U2_20150514
U3_Day017_scaffold_32652_2,0,0,15,0,0,0,0,38,0,487,305,560,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day017_scaffold_3732_7,0,0,342,0,0,0,0,11,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day017_scaffold_474_7,32,0,67,20,2,0,0,36,3,11,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day017_scaffold_522_13,10,0,88,15,1,0,0,43,2,7,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day017_scaffold_540_14,6,0,114,0,0,0,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day017_scaffold_6722_1,110,1,64,4,1,0,0,26,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day017_scaffold_6880_6,0,0,74,0,0,0,0,13,16,599,295,249,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day017_scaffold_868_2,0,0,212,8,120,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
U3_Day023_scaffold_107_8,0,0,0,3406,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day059_scaffold_2087_3,12,0,15,0,348,0,7,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day087_scaffold_77_4,21,599,0,0,2105,465,691,0,222,0,0,0,0,4,6,11,80,156,147,166,0,26,44,43,76,145,45,147
U3_Input2FT_scaffold_1127_7,0,0,6,0,0,0,0,130,2,5,141,52,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_1130_6,0,0,0,0,0,0,0,353,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_117379_4,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_11793_6,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_12704_3,0,0,0,0,0,0,0,1071,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_1339_22,15,0,0,2,0,0,0,371,3,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_140_42,0,0,0,0,0,0,0,1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_1885_7,0,0,8,0,0,0,0,544,0,2,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_190_32,0,0,14,0,0,0,0,297,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_21624_7,0,0,0,0,0,0,0,790,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_21626_3,0,0,0,0,0,0,0,541,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_2309_6,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
