,U3_Day001,U3_Day009,U3_Day017,U3_Day023,U3_Day059,U3_Day087,U3_Day122,U3_Input2FT,U3_Input2RT,U2_20140711FC,U2_20140711HT,U2_20140711LW,U2_20140716FC,U2_20141010,U2_20141011,U2_20141012,U2_20141016,U2_20141018,U2_20141020,U2_20141022,U2_20141029,U2_20141105,U2_20141119,U2_20141203,U2_20141217,U2_20150107,U2_20150205,U2_20150514
U3_Day009_scaffold_1067_7,18.31375731,4.556745858,0,0,0.029495034,0,0,0,1.588556527,0,0,0,0,0,0,0,0,0.038530536,0,0,0,0,0,0,0,0,0,0
U3_Day009_scaffold_129_19,0,3.144933573,0,0,0,0,0,0,0.009692541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.211050714,0.491732034,0,0.325077737,0
U3_Day009_scaffold_5003_4,7.145873733,2.709873797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day017_scaffold_135_9,0,0,9.889273837,1.706210636,4.558467464,0,0.072697412,0.245072588,0.049178264,0.197676193,0,0.033199262,0,0,0,0,0,0,0,0,0.034619953,0,0,0,0,0,0,0
U3_Day017_scaffold_15186_1,1.255800501,0,7.243935983,0.434424786,0,0,0,0.358115223,0.01574127,0.193774689,0,0.297545267,0,0,0,0,0,0,0,0,0,0.086209065,0,0,0,0,0,0
U3_Day017_scaffold_2065_4,0.757466969,0,8.019057424,0,6.29026754,0,0,0.043201202,0.071210508,0.100182833,0.088352035,0.067301906,0.055139356,0,0,0,0,0,0,0,0.14036389,0,0,0,0,0,0,0
U3_Day017_scaffold_22168_1,0.051407038,0,4.584088282,0,0,0,0,0,0,0.061192007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day017_scaffold_223_25,0.12290027,0,28.67436007,0.91833372,2.048635237,0,0,0,0,0.195057965,0,0,0.107357421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day017_scaffold_2347_4,0,0,5.34892616,0,0,0,0,0.237849312,0,2.426900977,1.021508354,0.81518488,2.975047041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day017_scaffold_2654_8,0,0,5.892370437,0,0,0,0,0.802419429,0.045348497,0.239245284,0.164105133,0.035716174,0.117046719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day017_scaffold_2826_7,17.50443319,0,16.92769957,2.169847468,4.170005387,0.032705659,0,0,0.073138479,10.57891338,0.028357531,0,1.345015029,0,0,0,0,0,0.038047107,0,0,0,0,0,0,0,0,0
U3_Day017_scaffold_30861_2,0,0,2.961299532,0,0,0,0,0.114424804,0.188611617,5.008464715,2.369386655,4.233653659,5.33063448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day017_scaffold_32652_2,0,0,2.556683288,0,0,0,0,0.907225232,0,26.9623639,14.89196792,41.65633739,22.54909446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day017_scaffold_3732_7,0,0,35.40130778,0,0,0,0,0.159489367,0.019119534,0,0.029652395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day017_scaffold_474_7,2.07641295,0,5.310630485,0.808090861,0.047027048,0,0,0.399686641,0.021960723,0.283209161,0.022705855,0,0.113363431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day017_scaffold_522_13,0.626957457,0,6.73950928,0.58559287,0.022719148,0,0,0.461274991,0.014145871,0.174135363,0.131632592,0,0.054766793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day017_scaffold_540_14,0.424991009,0,9.863723159,0,0,0,0,0.157552473,0,0.056209452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day017_scaffold_6722_1,8.99283472,0.035206305,6.39133279,0.203624657,0.029624968,0,0,0.36368941,0,0.194628322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day017_scaffold_6880_6,0,0,6.402767665,0,0,0,0,0.157552473,0.12785276,16.83473083,7.311805298,9.402487223,15.03536587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day017_scaffold_868_2,0,0,20.71501207,0.39847239,3.478379918,0,0,0,0,0.063477915,0,0,0,0,0,0,0,0,0,0,0,0.049421576,0,0,0,0,0,0
U3_Day023_scaffold_107_8,0,0,0,180.5445497,6.539779737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day059_scaffold_2087_3,1.223600488,0,1.86834548,0,12.85853851,0,0.277741396,0.104679834,0.011503236,0.040458452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day087_scaffold_77_4,2.744484194,33.71202033,0,0,99.68906203,24.5257894,35.14015431,0,3.273075681,0,0,0,0,0.221833273,0.221647678,0.868614685,3.475388755,4.825542617,4.509787915,5.615266969,0,1.04968643,1.528975386,1.466906498,2.706999686,5.085150587,2.22518,5.339199806
U3_Input2FT_scaffold_1127_7,0,0,0.511336658,0,0,0,0,1.551832633,0.01574127,0.138410492,3.442241765,1.934044236,0.365660991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_1130_6,0,0,0,0,0,0,0,5.026353246,0.018776583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_117379_4,0,0,0,0,0,0,0,0.747126661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_11793_6,0,0,0,0,0,0,0,2.029565725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_12704_3,0,0,0,0,0,0,0,13.07974531,0.032209061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
